trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,key_resp_2.rt,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,go,piano_min40db.wav,0,0,0,2,,,,,112.65414280002005,None,117.63893990009092,None,119.68917482011021,None,119.69726360007189,None,space,1.0059006998781115,119.69726360007189,None,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
6,nogo,silent.wav,0,1,1,5,,,,,,,,,120.73916765996256,None,120.73240920016542,None,None,,120.73240920016542,122.23921769997105,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
8,nogo,silent.wav,0,2,2,7,,,,,,,,,122.75588226011024,122.7465341000352,122.7465341000352,122.7465341000352,None,,122.7465341000352,124.25561069999821,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
7,nogo,silent.wav,0,3,3,6,,,,,,,,,124.77253316012212,124.76666680001654,124.76666680001654,124.76666680001654,None,,124.76666680001654,126.27266649994999,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
5,nogo,silent.wav,0,4,4,4,,,,,,,,,126.7890036599245,126.78263849997893,126.78263849997893,126.78263849997893,None,,126.78263849997893,128.28918950003572,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
1,go,piano_min20db.wav,0,5,5,0,,,,,,,,,128.80682746013628,128.8018022000324,128.8018022000324,128.8018022000324,space,0.9728156998753548,128.8018022000324,None,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
4,go,piano_min50db.wav,0,6,6,3,,,,,,,,,129.82250406006352,None,129.81642289995216,None,None,,129.81642289995216,131.3223826000467,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
2,go,piano_min30db.wav,0,7,7,1,,,,,,,,,131.83919236012736,131.83296080003493,131.83296080003493,131.83296080003493,space,0.8378967000171542,131.83296080003493,None,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
8,nogo,silent.wav,1,0,8,7,,,,,,,,,132.70584176010453,None,132.7008068000432,None,None,,132.7008068000432,134.20564669999294,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
3,go,piano_min40db.wav,1,1,9,2,,,,,,,,,134.72259016004392,134.71583670005202,134.71583670005202,134.71583670005202,space,0.8189620999619365,134.71583670005202,None,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
4,go,piano_min50db.wav,1,2,10,3,,,,,,,,,135.55526853012853,137.55577010009438,135.56191110005602,None,None,,135.56191110005602,137.0726336000953,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
1,go,piano_min20db.wav,1,3,11,0,,,,,,,,,137.58918616008015,None,137.58287520008162,137.58287520008162,space,0.7356737998779863,137.58287520008162,None,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
2,go,piano_min30db.wav,1,4,12,1,,,,,,,,,138.35597136006692,None,138.351015600143,None,None,,138.351015600143,139.85564090008847,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
6,nogo,silent.wav,1,5,13,5,,,,,,,,,140.37276176009328,140.36831549997441,140.36831549997441,140.36831549997441,None,,140.36831549997441,141.87259010015987,,,,,,,,,,,,,,,,,,,,,,,005,001,2021_Dec_01_1438,psychophysicsHKA,2021.2.3,59.97184915324962,
