trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,go,piano_min30db.wav,0,0,0,1,,,,,52.06511279987171,None,57.04190419986844,None,59.09191812006757,None,59.10213640006259,None,space,1.0907103000208735,59.10213640006259,None,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
3,go,piano_min40db.wav,0,1,1,2,,,,,,,,,60.22531305993907,None,60.22445139987394,None,None,,60.22445139987394,61.725431700004265,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
5,nogo,silent.wav,0,2,2,4,,,,,,,,,62.24219485996291,62.23995289998129,62.23995289998129,62.23995289998129,None,,62.23995289998129,63.74241509987041,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
4,go,piano_min50db.wav,0,3,3,3,,,,,,,,,64.25888225990349,64.25117950001732,64.25117950001732,64.25117950001732,space,1.301711400039494,64.25117950001732,None,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
1,go,piano_min20db.wav,0,4,4,0,,,,,,,,,65.59207455995494,None,65.59279490006156,None,space,0.9519670999143273,65.59279490006156,None,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
6,nogo,silent.wav,0,5,5,5,,,,,,,,,66.59223065986299,68.59255509986542,66.59523059986532,None,None,,66.59523059986532,68.10882549989037,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
7,nogo,silent.wav,0,6,6,6,,,,,,,,,68.62586925989018,None,68.6258745000232,68.6258745000232,None,,68.6258745000232,70.12555740005337,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
8,nogo,silent.wav,0,7,7,7,,,,,,,,,70.64222765988671,70.6390676998999,70.6390676998999,70.6390676998999,None,,70.6390676998999,72.14220829983242,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
4,go,piano_min50db.wav,1,0,8,3,,,,,,,,,72.65877196001821,72.66072599985637,72.66072599985637,72.66072599985637,space,0.9239863001275808,72.66072599985637,None,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
1,go,piano_min20db.wav,1,1,9,0,,,,,,,,,73.62526205992327,None,73.62343819998205,None,space,0.9212130000814795,73.62343819998205,None,,,,,,,,,,,,,,,,,,,,,,,009,001,2021_Dec_01_1507,psychophysicsHKA,2021.2.3,60.20154273157524,
