trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,nogo,silent.wav,0,0,0,5,,,,,26.212146300124004,None,31.207371400203556,None,33.22356544015929,None,33.24236140004359,None,None,33.24236140004359,34.75724090007134,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
3,go,piano_min40db.wav,0,1,1,2,,,,,,,,,35.22413913998753,None,35.22012810013257,None,space,35.22012810013257,None,1.3992750998586416,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
1,go,piano_min20db.wav,0,2,2,0,,,,,,,,,36.65735094016418,None,36.65680730016902,None,None,36.65680730016902,38.15775570017286,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
8,nogo,silent.wav,0,3,3,7,,,,,,,,,38.67401404003613,38.672368600033224,38.672368600033224,38.672368600033224,None,38.672368600033224,40.174123800126836,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
7,nogo,silent.wav,0,4,4,6,,,,,,,,,40.690811740001664,40.68870609998703,40.68870609998703,40.68870609998703,None,40.68870609998703,42.190475300187245,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
4,go,piano_min50db.wav,0,5,5,3,,,,,,,,,42.70746144000441,44.707702700048685,42.710563000058755,42.710563000058755,None,42.710563000058755,44.22419980005361,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
5,nogo,silent.wav,0,6,6,4,,,,,,,,,44.74101064004935,None,44.7367130999919,44.7367130999919,None,44.7367130999919,46.24040780006908,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
2,go,piano_min30db.wav,0,7,7,1,,,,,,,,,46.757740640081465,46.762745100073516,46.762745100073516,46.762745100073516,space,46.762745100073516,None,1.3928324000444263,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
1,go,piano_min20db.wav,1,0,8,0,,,,,,,,,48.17408057011198,50.17433170019649,48.18121130019426,None,None,48.18121130019426,49.69062600005418,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
8,nogo,silent.wav,1,1,9,7,,,,,,,,,50.20763964019716,None,50.20488540013321,50.20488540013321,None,50.20488540013321,51.70731670013629,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
2,go,piano_min30db.wav,1,2,10,1,,,,,,,,,52.224139240104705,52.222000600071624,52.222000600071624,52.222000600071624,space,52.222000600071624,None,0.973291700007394,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
4,go,piano_min50db.wav,1,3,11,3,,,,,,,,,53.24074074020609,55.24084890005179,53.24543030001223,None,None,53.24543030001223,54.7574855000712,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
6,nogo,silent.wav,1,4,12,5,,,,,,,,,55.274156840052456,None,55.272438700078055,55.272438700078055,None,55.272438700078055,56.77376860007644,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
3,go,piano_min40db.wav,1,5,13,2,,,,,,,,,57.29105594009161,57.28868060000241,57.28868060000241,57.28868060000241,space,57.28868060000241,None,0.7865003999322653,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
5,nogo,silent.wav,1,6,14,4,,,,,,,,,58.107232340145856,None,58.09968760004267,None,None,58.09968760004267,59.60756830009632,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
7,nogo,silent.wav,1,7,15,6,,,,,,,,,60.12415414000861,60.12233640020713,60.12233640020713,60.12233640020713,None,60.12233640020713,61.62390600005165,,,,,,,,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
,,,,,,,,,,,,,,,,,,,,,,,62.126672400161624,None,space,29.916640699841082,62.126672400161624,None,,,,,,,,,,,,,,,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
1,go,piano_min20db.wav,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,92.09097954002209,None,92.08937140018679,None,space,0.9621409999672323,92.08937140018679,None,93.10404880018905,None,4.0,2.8231560999993235,93.10404880018905,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
6,nogo,silent.wav,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,95.9266651700018,None,95.93261120002717,None,None,,95.93261120002717,97.44045470003039,97.96310030017048,None,-0.0,2.658296899870038,97.96310030017048,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
7,nogo,silent.wav,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,100.62664677004796,None,100.63219480006956,None,None,,100.63219480006956,102.14045090018772,102.65699920011684,None,0.0,1.4746030999813229,102.65699920011684,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
4,go,piano_min50db.wav,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,104.14225677016657,None,104.14873090013862,None,space,1.1909717998933047,104.14873090013862,None,105.37871720013209,None,1.0,1.520769099937752,105.37871720013209,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
5,nogo,silent.wav,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,106.90976957010571,None,106.9162671000231,None,None,,106.9162671000231,108.4239402001258,108.93766210018657,None,-0.0,0.9938312000595033,108.93766210018657,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
8,nogo,silent.wav,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,109.942424270208,None,109.9481122000143,None,None,,109.9481122000143,111.45730910007842,111.96284120017663,None,0.0,0.8020585000049323,111.96284120017663,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
2,go,piano_min30db.wav,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,112.79479894018732,None,112.78572200005874,None,space,0.969897799892351,112.78572200005874,None,113.79147820011713,None,4.0,1.27379749994725,113.79147820011713,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
3,go,piano_min40db.wav,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,115.07622397004161,None,115.08213460003026,None,None,,115.08213460003026,116.590677900007,117.1071166000329,None,3.0,2.0941860999446362,117.1071166000329,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
2,go,piano_min30db.wav,,,,,1,0,8,1,,,,,,,,,,,,,,,,,,,119.20991537009832,None,119.21651560021564,None,space,0.8747459000442177,119.21651560021564,None,120.12784270010889,None,4.0,0.8360242000781,120.12784270010889,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
6,nogo,silent.wav,,,,,1,1,9,5,,,,,,,,,,,,,,,,,,,120.97458607016597,122.97430480015464,120.98117440007627,None,None,,120.98117440007627,122.49054160015658,123.01364370016381,None,0.0,1.3925516000017524,123.01364370016381,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
3,go,piano_min40db.wav,,,,,1,2,10,2,,,,,,,,,,,,,,,,,,,124.42682163999416,None,124.41675910004415,None,space,1.418634400004521,124.41675910004415,None,125.88419560017064,None,3.0,1.8709290002007037,125.88419560017064,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
5,nogo,silent.wav,,,,,1,3,11,4,,,,,,,,,,,,,,,,,,,127.7758276402019,None,127.76642730017193,None,None,,127.76642730017193,129.27396030002274,129.78795070014894,None,0.0,2.061471000080928,129.78795070014894,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
1,go,piano_min20db.wav,,,,,1,4,12,0,,,,,,,,,,,,,,,,,,,131.8595269700745,None,131.8666132001672,None,space,0.9287945001851767,131.8666132001672,None,132.83667500014417,None,4.0,0.7101793000474572,132.83667500014417,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
7,nogo,silent.wav,,,,,1,5,13,6,,,,,,,,,,,,,,,,,,,133.55958057020325,None,133.56598290009424,None,None,,133.56598290009424,135.07411330007017,135.58404009998776,None,-0.0,1.0988417000044137,135.58404009998776,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
4,go,piano_min50db.wav,,,,,1,6,14,3,,,,,,,,,,,,,,,,,,,136.69236517010722,None,136.6989337000996,None,space,1.2167007999960333,136.6989337000996,None,137.96198670007288,None,1.0,1.0426325998269022,137.96198670007288,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
8,nogo,silent.wav,,,,,1,7,15,7,,,,,,,,,,,,,,,,,,,139.0105129700387,None,139.0178920000326,None,None,,139.0178920000326,140.52397840004414,141.04460300016217,None,-0.0,2.724858900066465,141.04460300016217,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
6,nogo,silent.wav,,,,,2,0,16,5,,,,,,,,,,,,,,,,,,,143.77641567017417,None,143.78271940001287,None,None,,143.78271940001287,145.2905153001193,145.80927050020546,None,0.0,1.1403657000046223,145.80927050020546,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
2,go,piano_min30db.wav,,,,,2,1,17,1,,,,,,,,,,,,,,,,,,,146.95914007013198,None,146.96537740016356,None,space,1.078228099970147,146.96537740016356,None,148.10486300010234,None,4.0,1.117746700067073,148.10486300010234,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
8,nogo,silent.wav,,,,,2,2,18,7,,,,,,,,,,,,,,,,,,,149.22724807017948,None,149.23343760007992,None,None,,149.23343760007992,150.74089270015247,151.26516900002025,None,-0.0,0.9221367000136524,151.26516900002025,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
1,go,piano_min20db.wav,,,,,2,3,19,0,,,,,,,,,,,,,,,,,,,152.19261447002646,None,152.19812040007673,None,space,0.9492168999277055,152.19812040007673,None,153.2042207000777,None,4.0,0.8487134999595582,153.2042207000777,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
7,nogo,silent.wav,,,,,2,4,20,6,,,,,,,,,,,,,,,,,,,154.05981366999913,None,154.06621509999968,None,None,,154.06621509999968,155.57405020017177,156.07919570012018,None,-0.0,1.2841558998916298,156.07919570012018,None,,,010,001,2021_Dec_01_1517,psychophysicsHKA,2021.2.3,59.89383212385453,
