trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,key_resp_2.rt,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
8,nogo,silent.wav,0,0,0,7,,,,,14.430392500013113,None,19.413922399980947,None,21.46355619993992,None,21.477403600001708,None,None,21.477403600001708,22.98050109995529,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
7,nogo,silent.wav,0,1,1,6,,,,,,,,,23.430319799995047,None,23.423286800039932,None,None,23.423286800039932,24.930478899972513,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
1,go,piano_min20db.wav,0,2,2,0,,,,,,,,,25.430714399972928,None,25.424163999967277,None,space,25.424163999967277,None,0.9716950000729412,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
6,nogo,silent.wav,0,3,3,5,,,,,,,,,26.430391899961975,None,26.425684900023043,None,None,26.425684900023043,27.93068640003912,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
5,nogo,silent.wav,0,4,4,4,,,,,,,,,28.44729520003311,28.44038340006955,28.44038340006955,28.44038340006955,None,28.44038340006955,29.94728050008416,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
3,go,piano_min40db.wav,0,5,5,2,,,,,,,,,30.46396639985032,30.458118899958208,30.458118899958208,30.458118899958208,space,30.458118899958208,None,0.94572259997949,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
2,go,piano_min30db.wav,0,6,6,1,,,,,,,,,31.447214299999175,None,31.446654599858448,None,space,31.446654599858448,None,0.9816320999525487,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
4,go,piano_min50db.wav,0,7,7,3,,,,,,,,,32.463658099947494,None,32.459739099955186,None,None,32.459739099955186,33.96406579995528,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
6,nogo,silent.wav,1,0,8,5,,,,,,,,,34.48032889999449,34.47855890006758,34.47855890006758,34.47855890006758,None,34.47855890006758,35.98053149995394,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
1,go,piano_min20db.wav,1,1,9,0,,,,,,,,,36.49699719990603,36.4911958000157,36.4911958000157,36.4911958000157,space,36.4911958000157,None,0.800786399981007,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
5,nogo,silent.wav,1,2,10,4,,,,,,,,,37.330341499950734,None,37.32495699985884,None,None,37.32495699985884,38.83051389991306,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
7,nogo,silent.wav,1,3,11,6,,,,,,,,,39.34736209986731,39.34096290008165,39.34096290008165,39.34096290008165,None,39.34096290008165,40.84719379991293,,,,,,,,,,,,,,,,,,,,,,,,001,001,2021_Dec_01_1404,psychophysicsHKA,2021.2.3,59.99923203192146,
