trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,go,piano_min40db.wav,0,0,0,2,,,,,82.03556149988435,None,87.01476359996013,None,89.06488727992401,None,89.07973050000146,None,None,89.07973050000146,90.58183109993115,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
4,go,piano_min50db.wav,0,1,1,3,,,,,,,,,91.01511592005845,None,91.0204739999026,None,None,91.0204739999026,92.53157710004598,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
7,nogo,silent.wav,0,2,2,6,,,,,,,,,93.0317388399504,None,93.02638290007599,None,None,93.02638290007599,94.53163230000064,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
2,go,piano_min30db.wav,0,3,3,1,,,,,,,,,95.03178833997808,None,95.02608389989473,None,space,95.02608389989473,None,1.1297558001242578,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
6,nogo,silent.wav,0,4,4,5,,,,,,,,,96.19833464003167,None,96.19774880004115,None,None,96.19774880004115,97.69853759999387,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
1,go,piano_min20db.wav,0,5,5,0,,,,,,,,,98.21528914002701,98.21824000007473,98.21824000007473,98.21824000007473,space,98.21824000007473,None,0.8175383000634611,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
8,nogo,silent.wav,0,6,6,7,,,,,,,,,99.08171093990094,None,99.07795439986512,None,None,99.07795439986512,100.58191589987837,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
5,nogo,silent.wav,0,7,7,4,,,,,,,,,101.09835473997518,101.09732949989848,101.09732949989848,101.09732949989848,None,101.09732949989848,102.59858940006234,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
4,go,piano_min50db.wav,1,0,8,3,,,,,,,,,103.11522744004614,103.1129342999775,103.1129342999775,103.1129342999775,None,103.1129342999775,104.61510160006583,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
2,go,piano_min30db.wav,1,1,9,1,,,,,,,,,105.13188423998653,105.12634369987063,105.12634369987063,105.12634369987063,space,105.12634369987063,None,0.7892917999997735,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
8,nogo,silent.wav,1,2,10,7,,,,,,,,,105.94823713987134,None,105.94482209999114,None,None,105.94482209999114,107.44877370004542,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
7,nogo,silent.wav,1,3,11,6,,,,,,,,,107.96546524008735,107.96348510007374,107.96348510007374,107.96348510007374,None,107.96348510007374,109.46503679989837,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
3,go,piano_min40db.wav,1,4,12,2,,,,,,,,,109.98185384008102,109.97598610003479,109.97598610003479,109.97598610003479,space,109.97598610003479,None,0.7560761000495404,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
5,nogo,silent.wav,1,5,13,4,,,,,,,,,110.76527353995479,None,110.76525410008617,None,None,110.76525410008617,112.26500650006346,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
6,nogo,silent.wav,1,6,14,5,,,,,,,,,112.78211604002863,112.77889660000801,112.77889660000801,112.77889660000801,None,112.77889660000801,114.28185519995168,,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
1,go,piano_min20db.wav,1,7,15,0,,,,,,,,,114.79831254007294,114.79463530005887,114.79463530005887,114.79463530005887,space,114.79463530005887,None,0.7533122000750154,,,,,,,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
,,,,,,,,,,,,,,,,,,,,,,,115.56824569986202,None,space,13.947466500103474,115.56824569986202,None,,,,,,,,,,,,,,,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
1,go,piano_min20db.wav,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,129.56500335989986,None,129.56329050008208,None,space,0.7524739999789745,129.56329050008208,None,130.36676510004327,None,4.0,7.955294599989429,130.36676510004327,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
7,nogo,silent.wav,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,138.33357524001042,None,138.3332046000287,None,None,,138.3332046000287,139.84839889989235,140.3488509999588,None,-0.0,2.061350799864158,140.3488509999588,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
5,nogo,silent.wav,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,142.41727471987252,None,142.42441239999607,None,None,,142.42441239999607,143.93163500004448,144.44752250006422,None,0.0,1.4230554001405835,144.44752250006422,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
4,go,piano_min50db.wav,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,145.8835469198646,None,145.88999460008927,None,None,,145.88999460008927,147.39850799995475,147.9013386000879,None,-0.0,2.7351076998747885,147.9013386000879,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
8,nogo,silent.wav,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,150.6501800199738,None,150.65570449992083,None,None,,150.65570449992083,152.16518809995614,152.6808370000217,None,0.0,0.8580511999316514,152.6808370000217,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
3,go,piano_min40db.wav,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,153.5502868199954,None,153.55568709992804,None,None,,153.55568709992804,155.06500290008262,155.59213200001977,None,1.0,0.8729280999395996,155.59213200001977,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
2,go,piano_min30db.wav,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,156.4672757199267,None,156.47289069998078,None,space,1.010992200113833,156.47289069998078,None,157.5197165000718,None,2.0,1.4855673999991268,157.5197165000718,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
6,nogo,silent.wav,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,159.01700841991698,None,159.02274819999002,None,None,,159.02274819999002,160.53220969997346,161.0478366999887,None,0.0,0.9400409001391381,161.0478366999887,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
7,nogo,silent.wav,,,,,1,0,8,6,,,,,,,,,,,,,,,,,,,162.01687914007346,None,162.00692890002392,None,None,,162.00692890002392,163.51506010000594,164.02280350006185,None,0.0,1.6312470000702888,164.02280350006185,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
8,nogo,silent.wav,,,,,1,1,9,7,,,,,,,,,,,,,,,,,,,165.66691162001808,None,165.67268160008825,None,None,,165.67268160008825,167.18165219994262,167.70589379989542,None,0.0,0.7208910000044852,167.70589379989542,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
3,go,piano_min40db.wav,,,,,1,2,10,2,,,,,,,,,,,,,,,,,,,168.43354862004054,None,168.43944170000032,None,space,1.3483235000167042,168.43944170000032,None,169.83410319988616,None,1.0,2.155984800076112,169.83410319988616,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
5,nogo,silent.wav,,,,,1,3,11,4,,,,,,,,,,,,,,,,,,,172.00036122004968,None,172.00540999998339,None,None,,172.00540999998339,173.51545589999296,174.03000040003099,None,1.0,0.9443190000019968,174.03000040003099,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
4,go,piano_min50db.wav,,,,,1,4,12,3,,,,,,,,,,,,,,,,,,,174.9834086199524,None,174.99004149995744,None,space,1.1816767000127584,174.99004149995744,None,176.22316009993665,None,1.0,0.7876905999146402,176.22316009993665,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
1,go,piano_min20db.wav,,,,,1,5,13,0,,,,,,,,,,,,,,,,,,,177.01699242002798,None,177.02266720007174,None,space,1.1650455999188125,177.02266720007174,None,178.22404500003904,None,3.0,0.946853999979794,178.22404500003904,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
2,go,piano_min30db.wav,,,,,1,6,14,1,,,,,,,,,,,,,,,,,,,179.18310492003803,None,179.1899601998739,None,space,0.7258659999351948,179.1899601998739,None,179.95337069989182,None,2.0,0.9866172999609262,179.95337069989182,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
6,nogo,silent.wav,,,,,1,7,15,5,,,,,,,,,,,,,,,,,,,180.95044552006294,None,180.95681579993106,None,None,,180.95681579993106,182.46525659994222,182.99694660003297,None,-0.0,0.9548124000430107,182.99694660003297,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
2,go,piano_min30db.wav,,,,,2,0,16,1,,,,,,,,,,,,,,,,,,,183.9510753199691,None,183.9573244000785,None,space,0.8544230000115931,183.9573244000785,None,184.8551695998758,None,2.0,1.1023820999544114,184.8551695998758,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
8,nogo,silent.wav,,,,,2,1,17,7,,,,,,,,,,,,,,,,,,,185.9677331199171,None,185.9731344000902,None,None,,185.9731344000902,187.48195179994218,188.00594589998946,None,-0.0,0.7384507001843303,188.00594589998946,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
3,go,piano_min40db.wav,,,,,2,2,18,2,,,,,,,,,,,,,,,,,,,188.75078382000794,None,188.75646999990568,None,space,0.7593033998273313,188.75646999990568,None,189.5408175000921,None,1.0,0.9980401999782771,189.5408175000921,None,,,002,001,2021_Dec_01_1411,psychophysicsHKA,2021.2.3,60.00870123013102,
