trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,key_resp_2.rt,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,nogo,silent.wav,0,0,0,5,,,,,25.069803100079298,None,30.061955800047144,None,32.07848534011282,None,32.10209840000607,None,None,32.10209840000607,33.611902200151235,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
1,go,piano_min20db.wav,0,1,1,0,,,,,,,,,34.07882414013147,None,34.07630549999885,None,space,34.07630549999885,None,1.0689567001536489,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
5,nogo,silent.wav,0,2,2,4,,,,,,,,,35.179016640177,None,35.17862220015377,None,None,35.17862220015377,36.6787432001438,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
3,go,piano_min40db.wav,0,3,3,2,,,,,,,,,37.195338040124625,37.188773500034586,37.188773500034586,37.188773500034586,space,37.188773500034586,None,1.2047013000119478,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
2,go,piano_min30db.wav,0,4,4,1,,,,,,,,,38.428940940182656,None,38.43485310021788,None,space,38.43485310021788,None,0.9982072000857443,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
8,nogo,silent.wav,0,5,5,7,,,,,,,,,39.47874274011701,None,39.478570100152865,None,None,39.478570100152865,40.97848300007172,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
4,go,piano_min50db.wav,0,6,6,3,,,,,,,,,41.49528704001568,41.49215660011396,41.49215660011396,41.49215660011396,None,41.49215660011396,42.99555560015142,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
7,nogo,silent.wav,0,7,7,6,,,,,,,,,43.51187644014135,45.511936200084165,43.51852979999967,43.51852979999967,None,43.51852979999967,45.028499300125986,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
5,nogo,silent.wav,1,0,8,4,,,,,,,,,45.54526224010624,None,45.542028200114146,45.542028200114146,None,45.542028200114146,47.04545550001785,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
7,nogo,silent.wav,1,1,9,6,,,,,,,,,47.56179044023156,47.55978600005619,47.55978600005619,47.55978600005619,None,47.55978600005619,49.061294600134715,,,,,,,,,,,,,,,,,,,,,,,,007,001,2021_Dec_01_1449,psychophysicsHKA,2021.2.3,59.90176114471338,
