trial,response,stimFile,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,sound_p.started,sound_p.stopped,fixation.started,fixation.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sound_1.started,sound_1.stopped,fix.started,fix.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_4.started,text_4.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,key_resp_2.rt,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,nogo,silent.wav,0,0,0,4,,,,,23.759372900007293,None,28.757802000036463,None,30.791492379945705,None,30.802444299915805,None,None,30.802444299915805,32.308415699983016,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
3,go,piano_min40db.wav,0,1,1,2,,,,,,,,,32.77515881988219,None,32.77421549987048,None,space,32.77421549987048,None,1.2040456999093294,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
4,go,piano_min50db.wav,0,2,2,3,,,,,,,,,34.02508742003701,None,34.02580940001644,None,None,34.02580940001644,35.52532989997417,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
6,nogo,silent.wav,0,3,3,5,,,,,,,,,36.0417142199818,36.03558050002903,36.03558050002903,36.03558050002903,None,36.03558050002903,37.541837099939585,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
2,go,piano_min30db.wav,0,4,4,1,,,,,,,,,38.058697119960556,38.06203750008717,38.06203750008717,38.06203750008717,space,38.06203750008717,None,0.8601128999143839,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
7,nogo,silent.wav,0,5,5,6,,,,,,,,,38.95874701989814,40.95835520001128,38.96394139993936,None,None,38.96394139993936,40.47531719994731,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
1,go,piano_min20db.wav,0,6,6,0,,,,,,,,,40.99173832000233,None,40.99047610000707,40.99047610000707,space,40.99047610000707,None,0.8434059000574052,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
8,nogo,silent.wav,0,7,7,7,,,,,,,,,41.87488311985507,None,41.869829799979925,None,None,41.869829799979925,43.37493949988857,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
5,nogo,silent.wav,1,0,8,4,,,,,,,,,43.891711820056656,43.88915909989737,43.88915909989737,43.88915909989737,None,43.88915909989737,45.391639600042254,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
4,go,piano_min50db.wav,1,1,9,3,,,,,,,,,45.9084572199732,45.90909489989281,45.90909489989281,45.90909489989281,None,45.90909489989281,47.40832330007106,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Dec_01_1444,psychophysicsHKA,2021.2.3,60.00513642290505,
